CD_CLIENTE,DATA_RECENTE,FREQUENCIA,MONETARIO,RECENCIA,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,SEGMENTO_RFM
TFDPBS,2023-08-29,0,7021.63990377586,692,3,3,3,333,Potencial para Retenção
TFDPBV,2024-01-31,0,128.33956158522233,537,3,3,1,331,Potencial para Retenção
TFDPC0,2024-10-31,12,158.66198478002752,263,4,4,1,441,Clientes Leais
TFDPC3,2023-08-29,0,7769.127782365666,692,3,3,3,333,Potencial para Retenção
TFDPDN,2023-08-30,0,19023.371030743077,691,3,3,4,334,Potencial para Retenção
TFDPE1,2023-08-29,0,855.5732553763969,692,3,3,2,332,Potencial para Retenção
TFDPE8,2024-09-24,3,70.8728313657592,300,4,4,1,441,Clientes Leais
TFDPEL,2024-10-31,22,18679.0078505926,263,4,4,4,444,Campeões
TFDPEP,2023-08-30,0,7308.662469427959,691,3,3,3,333,Potencial para Retenção
TFDPF2,2024-12-12,32,15658.069703574403,221,5,5,4,554,Campeões
TFDPF8,2023-09-05,0,848.1996895530668,685,3,3,2,332,Potencial para Retenção
TFDPFE,2024-06-25,29,38320.5392918589,391,4,4,4,444,Campeões
TFDPFG,2024-10-31,32,905.716866060945,263,4,5,2,452,Clientes Leais
TFDPFK,2023-10-19,0,271.90969841441824,641,3,3,2,332,Potencial para Retenção
TFDPFL,2024-12-11,11,15347.34158622463,222,5,4,4,544,Campeões
TFDPFO,2025-02-28,2,11418.698148610481,143,5,4,3,543,Clientes Leais
TFDPFT,2023-08-31,0,50.2276878319052,690,3,3,1,331,Potencial para Retenção
TFDPG2,2023-08-31,0,92.7370935363099,690,3,3,1,331,Potencial para Retenção
TFDPHI,2024-11-27,38,255.80472083791742,236,5,5,2,552,Clientes Leais
TFDPHS,2024-10-28,9,6591.639945183438,266,4,4,3,443,Clientes Leais
TFDPIO,2025-01-31,22,29975.785727818664,171,5,4,4,544,Campeões
TFDPIV,2023-08-31,0,748.6229200791513,690,3,3,2,332,Potencial para Retenção
TFDPJG,2024-11-29,2,2656.060142912227,234,5,4,3,543,Clientes Leais
TFDPJI,2023-08-31,0,11192.83329994687,690,3,3,3,333,Potencial para Retenção
TFDPJK,2024-11-11,69,14604.398077449532,252,4,5,4,454,Campeões
TFDPKH,2023-09-04,0,0.00420385736791976,686,3,3,1,331,Potencial para Retenção
TFDPM2,2023-09-07,0,0.00420385736791976,683,3,3,1,331,Potencial para Retenção
TFDPM9,2023-09-08,0,124.82093296827368,682,3,3,1,331,Potencial para Retenção
TFDPMB,2024-11-14,8,7143.816610459703,249,4,4,3,443,Clientes Leais
TFDPML,2023-09-11,0,0.00420385736791976,679,3,3,1,331,Potencial para Retenção
TFDPNA,2023-09-12,0,0.00420385736791976,678,3,3,1,331,Potencial para Retenção
TFDPNN,2023-09-12,0,662.8852490604281,678,3,3,2,332,Potencial para Retenção
TFDPNU,2025-01-23,10,461.07907611343956,179,5,4,2,542,Clientes Leais
TFDPNY,2024-04-12,13,174.54836177339624,465,4,4,1,441,Clientes Leais
TFDPPA,2024-09-18,2,175.56149139906512,306,4,4,1,441,Clientes Leais
TFDPPC,2025-01-03,200,37480.579162746915,199,5,5,4,554,Campeões
TFDPPY,2024-08-30,6,841.07835517181,325,4,4,2,442,Clientes Leais
TFDPQK,2023-09-20,0,65.2186432059071,670,3,3,1,331,Potencial para Retenção
TFDPQP,2024-01-05,0,9267.811341743796,563,3,3,3,333,Potencial para Retenção
TFDPQX,2023-09-21,0,5525.285281379548,669,3,3,3,333,Potencial para Retenção
TFDPR6,2024-04-30,10,49783.49985469618,447,4,4,5,445,Campeões
TFDPRM,2024-08-30,22,3974.2973286297665,325,4,4,3,443,Clientes Leais
TFDPRO,2023-11-06,0,870.892111625097,623,3,3,2,332,Potencial para Retenção
TFDPRV,2024-08-30,15,217.78503480245115,325,4,4,2,442,Clientes Leais
TFDPRX,2024-02-23,0,6893.83843593372,514,3,3,3,333,Potencial para Retenção
TFDPSA,2023-09-25,0,1213.792349411576,665,3,3,2,332,Potencial para Retenção
TFDPSD,2023-09-22,0,11145.169965109411,668,3,3,3,333,Potencial para Retenção
TFDPSF,2023-09-25,0,687.5450763806446,665,3,3,2,332,Potencial para Retenção
TFDPSO,2024-03-06,16,44295.389284021156,502,3,4,4,344,Potencial para Retenção
TFDPT0,2023-09-25,0,3296.3412509053474,665,3,3,3,333,Potencial para Retenção
TFDPTA,2023-09-26,0,3084.1515502596003,664,3,3,3,333,Potencial para Retenção
TFDPUC,2023-09-28,0,492.2338630670929,662,3,3,2,332,Potencial para Retenção
TFDPUF,2023-10-31,0,9479.614287511702,629,3,3,3,333,Potencial para Retenção
TFDPUJ,2023-09-29,0,316.43695565542384,661,3,3,2,332,Potencial para Retenção
TFDPUQ,2023-09-29,0,293.4250404234311,661,3,3,2,332,Potencial para Retenção
TFDPUW,2023-09-28,0,26920.640793397673,662,3,3,4,334,Potencial para Retenção
TFDPUY,2023-09-28,0,130.1640356828995,662,3,3,1,331,Potencial para Retenção
TFDPUZ,2023-09-28,0,130.1640356828995,662,3,3,1,331,Potencial para Retenção
TFDPV0,2023-10-06,0,454.5967280521072,654,3,3,2,332,Potencial para Retenção
TFDPV1,2025-03-17,110,17108.341641503575,126,5,5,4,554,Campeões
TFDPVI,2024-09-16,38,13575.180289633841,308,4,5,4,454,Campeões
TFDPVK,2025-02-28,74,76142.6776618919,143,5,5,5,555,Campeões
TFDPVO,2024-07-18,30,1260.7200092096643,368,4,5,2,452,Clientes Leais
TFDPW7,2023-12-05,0,298.4318345486241,594,3,3,2,332,Potencial para Retenção
TFDPWH,2023-09-29,0,844.4414410661457,661,3,3,2,332,Potencial para Retenção
TFDPWK,2024-02-27,0,16900.065732067367,510,3,3,4,334,Potencial para Retenção
TFDPWL,2025-02-07,34,15556.929099159634,164,5,5,4,554,Campeões
TFDPWP,2023-11-22,0,3893.2974048646824,607,3,3,3,333,Potencial para Retenção
TFDPWS,2023-11-29,0,92.69925881999862,600,3,3,1,331,Potencial para Retenção
TFDPWX,2024-11-06,42,5938.007386189815,257,4,5,3,453,Clientes Leais
TFDPWZ,2023-09-29,0,4076.030676933428,661,3,3,3,333,Potencial para Retenção
TFDPXB,2023-09-29,0,17948.47833262498,661,3,3,4,334,Potencial para Retenção
TFDPXF,2024-11-29,9,9054.179718020856,234,5,4,3,543,Clientes Leais
TFDPXM,2025-02-21,162,4156.975950552716,150,5,5,3,553,Clientes Leais
TFDPXN,2023-11-07,0,13597.523791544343,622,3,3,4,334,Potencial para Retenção
TFDPXS,2025-02-21,120,2674.485649755816,150,5,5,3,553,Clientes Leais
TFDPXV,2024-08-21,18,4733.52658084818,334,4,4,3,443,Clientes Leais
TFDPXW,2025-01-31,36,5920.935521418688,171,5,5,3,553,Clientes Leais
TFDPY5,2024-02-05,0,2732.03225326527,532,3,3,3,333,Potencial para Retenção
TFDPYJ,2023-10-03,0,134.0399921761212,657,3,3,1,331,Potencial para Retenção
TFDPZ6,2024-12-27,385,69182.71254956075,206,5,5,5,555,Campeões
TFDPZA,2023-10-26,0,620.9097332417489,634,3,3,2,332,Potencial para Retenção
TFDPZB,2024-10-08,2,71.94481499457879,286,4,4,1,441,Clientes Leais
TFDPZK,2024-01-08,0,100.66556853220649,560,3,3,1,331,Potencial para Retenção
TFDPZY,2023-10-13,0,6463.245733452441,647,3,3,3,333,Potencial para Retenção
